dept_rollup_name,fund_name,program_name,expense_category,budget,expenditures,source_lines,elapsed_pct,expected_spend_to_date,remaining_budget,utilization_pct,pace_variance,pace_gap_pct_points,linear_run_rate_proxy,projected_variance_proxy,pace_status
Police,General Fund,Neighborhood-Based Policing,Personnel & benefits,161473310.0,125111155.14,414,75.0,121104982.5,36362154.86,77.48101227379311,4006172.6400000006,2.4810122737931124,166814873.52,5341563.520000011,Near pace
Austin Energy,Austin Energy Fund,"Power Generation, Market Operations & Resource Planning",Other operating costs,141544353.0,123051299.15,477,75.0,106158264.75,18493053.849999994,86.93479926394521,16893034.400000006,11.934799263945209,164068398.86666667,22524045.866666675,Above pace
Fire,General Fund,Fire / Emergency Response,Personnel & benefits,129669201.0,108619769.18,47,75.0,97251900.75,21049431.819999993,83.76682230038573,11367868.430000007,8.766822300385726,144826358.90666667,15157157.906666666,Above pace
Austin Energy,Austin Energy Fund,Electric System,Personnel & benefits,105010315.0,85979577.99,573,75.0,78757736.25,19030737.010000005,81.87726890448809,7221841.739999995,6.877268904488091,114639437.32,9629122.319999993,Above pace
Enterprise Debt Service,Airport Revenue Bond Redemption Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,104909375.0,103921048.62,2,75.0,78682031.25,988326.3799999952,99.05792367936613,25239017.370000005,24.057923679366127,138561398.16,33652023.16,Above pace
Austin Energy,Austin Energy Fund,Support Services,Personnel & benefits,75409142.0,62237831.65,441,75.0,56556856.5,13171310.350000001,82.53353638475292,5680975.1499999985,7.533536384752921,82983775.53333333,7574633.533333331,Above pace
Austin Convention Center,Convention Center Tax Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,68496708.0,57080590.0,1,75.0,51372531.0,11416118.0,83.33333333333333,5708059.0,8.333333333333329,76107453.33333333,7610745.333333328,Above pace
Police,General Fund,Neighborhood-Based Policing,Grants & contributions,58999918.0,47502928.2,43,75.0,44249938.5,11496989.799999997,80.51354952730613,3252989.700000003,5.513549527306125,63337237.6,4337319.6000000015,Above pace
Emergency Medical Services,General Fund,Operations,Personnel & benefits,58364410.0,46413564.59,54,75.0,43773307.5,11950845.409999996,79.52374501858239,2640257.0900000036,4.523745018582389,61884752.78666667,3520342.786666669,Near pace
Police,General Fund,Investigations,Personnel & benefits,55431437.0,41480869.839999996,386,75.0,41573577.75,13950567.160000004,74.83275210779759,-92707.91000000387,-0.1672478922024112,55307826.453333326,-123610.54666667432,Near pace
Police,General Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,53010117.0,44154099.9,12,75.0,39757587.75,8856017.100000001,83.29372278125702,4396512.1499999985,8.293722781257017,58872133.199999996,5862016.1999999955,Above pace
Austin Energy,Austin Energy Fund,Customer Care,Personnel & benefits,51002653.0,42386866.5,386,75.0,38251989.75,8615786.5,83.10717973827754,4134876.75,8.107179738277537,56515822.0,5513169.0,Above pace
Aviation,Airport Operating Fund,"Facilities Management, Operations and Airport Security",Personnel & benefits,48792986.0,37805615.94,203,75.0,36594739.5,10987370.060000002,77.48166086822397,1210876.4399999976,2.481660868223969,50407487.919999994,1614501.9199999943,Near pace
Police,General Fund,Operations Support,Personnel & benefits,45713510.0,38870852.9,213,75.0,34285132.5,6842657.1000000015,85.03143359588883,4585720.3999999985,10.031433595888828,51827803.86666667,6114293.866666667,Above pace
Human Resources,Employee Benefits Fund,Retiree Medical,Personnel & benefits,44386972.0,36958849.23,6,75.0,33290229.0,7428122.770000003,83.26508334472555,3668620.2299999967,8.265083344725554,49278465.63999999,4891493.639999993,Above pace
Parks & Recreation,General Fund,Community Services,Personnel & benefits,44300646.2,34706108.87,741,75.0,33225484.650000002,9594537.330000006,78.34221810967622,1480624.219999995,3.3422181096762245,46274811.82666666,1974165.6266666576,Near pace
Austin Energy,Austin Energy Fund,Support Services,Contractual services,42184932.0,26046362.849999998,186,75.0,31638699.0,16138569.150000002,61.743285137925554,-5592336.150000002,-13.256714862074446,34728483.8,-7456448.200000003,Below pace
Police,General Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,42137410.0,35130301.0,1,75.0,31603057.5,7007109.0,83.37081230194262,3527243.5,8.370812301942621,46840401.333333336,4702991.333333336,Above pace
Austin Energy,Austin Energy Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,42110265.0,35091887.5,1,75.0,31582698.75,7018377.5,83.33333333333333,3509188.75,8.333333333333329,46789183.333333336,4678918.333333336,Above pace
Aviation,Airport Operating Fund,"Facilities Management, Operations and Airport Security",Other operating costs,41916347.0,31899385.14,496,75.0,31437260.25,10016961.86,76.10249323491858,462124.8900000006,1.1024932349185832,42532513.52,616166.5200000033,Near pace
Homeless Strategy Office,General Fund,Social Service Grants - HSO,Grants & contributions,39492782.0,18458747.14,2,75.0,29619586.5,21034034.86,46.73954633026359,-11160839.36,-28.260453669736407,24611662.853333335,-14881119.146666665,Below pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Operations,Personnel & benefits,38690311.0,31782471.44,202,75.0,29017733.25,6907839.559999999,82.14581536964126,2764738.1900000013,7.145815369641255,42376628.586666666,3686317.586666666,Above pace
Austin Water,Austin Water Water Utility Operating Fund,Operations,Other operating costs,38415817.0,29093914.310000002,710,75.0,28811862.75,9321902.689999998,75.73420685026692,282051.5600000024,0.734206850266915,38791885.74666667,376068.74666666985,Near pace
Human Resources,Employee Benefits Fund,Employee Medical,Other operating costs,38190182.0,28775727.199999996,13,75.0,28642636.5,9414454.800000004,75.34849454239311,133090.69999999553,0.3484945423931123,38367636.26666666,177454.26666665822,Near pace
Austin Energy,Austin Energy Fund,Customer Care,Contractual services,38063936.0,19679645.59,82,75.0,28547952.0,18384290.41,51.701551804836996,-8868306.41,-23.298448195163004,26239527.453333333,-11824408.546666667,Below pace
Austin Water,Austin Water Water Utility Operating Fund,Operations,Personnel & benefits,37312479.0,28556850.77,245,75.0,27984359.25,8755628.23,76.53431649502569,572491.5199999996,1.534316495025692,38075801.02666666,763322.0266666636,Near pace
Austin Convention Center,Convention Center Capital Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,37306706.0,20858638.0,2,75.0,27980029.5,16448068.0,55.911229471720176,-7121391.5,-19.088770528279824,27811517.333333332,-9495188.666666668,Below pace
Nondepartmental,General Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,36576757.0,29918136.1,15,75.0,27432567.75,6658620.8999999985,81.79548586005042,2485568.3500000015,6.7954858600504195,39890848.13333333,3314091.133333333,Above pace
Austin Convention Center,Convention Center Venue Project Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,30520088.0,23138662.5,2,75.0,22890066.0,7381425.5,75.81453402100283,248596.5,0.814534021002828,30851550.0,331462.0,Near pace
Enterprise Debt Service,Convention Center HOT Debt Service Fund-Subordinate Lien,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,30320995.0,7997935.45,3,75.0,22740746.25,22323059.55,26.37754945047153,-14742810.8,-48.622450549528466,10663913.933333334,-19657081.066666666,Below pace
Parks & Recreation,General Fund,"Park Planning, Development, and Operations",Personnel & benefits,30008511.0,23109392.759999998,301,75.0,22506383.25,6899118.240000002,77.00946161573961,603009.5099999979,2.0094616157396104,30812523.679999996,804012.679999996,Near pace
Watershed Protection,Drainage Utility Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,29219257.0,22574628.349999998,8,75.0,21914442.75,6644628.650000002,77.25941953281016,660185.5999999978,2.2594195328101563,30099504.466666665,880247.4666666649,Near pace
Aviation,Airport Operating Fund,Support Services,Personnel & benefits,28854483.0,23643369.82,148,75.0,21640862.25,5211113.18,81.94002235285241,2002507.5700000003,6.940022352852409,31524493.093333334,2670010.0933333337,Above pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Operations,Other operating costs,27909515.0,21555810.58,620,75.0,20932136.25,6353704.420000002,77.23462976694508,623674.3299999982,2.2346297669450763,28741080.77333333,831565.7733333297,Near pace
Austin Convention Center,Tourism Public Improvement District,Public Improvement District,Contractual services,27878795.0,0.0,1,75.0,20909096.25,27878795.0,0.0,-20909096.25,-75.0,0.0,-27878795.0,Below pace
Austin Convention Center,Convention Center Operating Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,27431442.0,24535830.1,8,75.0,20573581.5,2895611.8999999985,89.44418634645601,3962248.6000000015,14.444186346456007,32714440.133333337,5282998.133333337,Above pace
Austin Resource Recovery,Austin Resource Recovery Fund,Collection Services,Personnel & benefits,26545876.0,22811217.17,79,75.0,19909407.0,3734658.829999998,85.93130311465329,2901810.170000002,10.93130311465329,30414956.22666667,3869080.2266666703,Above pace
Police,General Fund,Neighborhood-Based Policing,Other operating costs,26305522.0,22632717.96,829,75.0,19729141.5,3672804.039999999,86.03789713809898,2903576.460000001,11.037897138098984,30176957.28,3871435.280000001,Above pace
Communications & Technology Management,Information and Technology Fund,Customer Delivery,Contractual services,25562202.0,18965988.51,29,75.0,19171651.5,6596213.489999998,74.19544102655946,-205662.98999999836,-0.8045589734405354,25287984.680000003,-274217.3199999966,Near pace
Austin Public Health,General Fund,Social Service Grants,Grants & contributions,25510420.0,16788770.33,10,75.0,19132815.0,8721649.670000002,65.81142266571855,-2344044.670000002,-9.188577334281447,22385027.106666666,-3125392.8933333345,Below pace
Austin Energy,Austin Energy Fund,Support Services,"Supplies, technology & equipment",25165525.0,17579803.57,202,75.0,18874143.75,7585721.43,69.85669311488634,-1294340.1799999997,-5.14330688511366,23439738.093333334,-1725786.9066666663,Below pace
Austin Energy,Austin Energy Fund,"Power Generation, Market Operations & Resource Planning",Personnel & benefits,24818714.0,19061677.73,232,75.0,18614035.5,5757036.27,76.80364796499931,447642.23000000045,1.803647964999314,25415570.30666667,596856.3066666685,Near pace
Human Resources,Employee Benefits Fund,Retiree Medical,Other operating costs,24618500.0,20903370.930000003,19,75.0,18463875.0,3715129.0699999966,84.90919808274266,2439495.9300000034,9.909198082742662,27871161.240000006,3252661.240000006,Above pace
Austin Public Library,General Fund,Public Services,Personnel & benefits,24288944.0,19669224.7,106,75.0,18216708.0,4619719.300000001,80.9801558272768,1452516.6999999993,5.980155827276803,26225632.933333334,1936688.9333333336,Above pace
Austin Energy,Austin Energy Fund,Electric System,"Supplies, technology & equipment",24251266.0,15451969.81,446,75.0,18188449.5,8799296.19,63.71613675756144,-2736479.6899999995,-11.283863242438557,20602626.413333334,-3648639.586666666,Below pace
Austin Energy,Austin Energy Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,24241540.0,18546445.77,22,75.0,18181155.0,5695094.23,76.50687938967573,365290.76999999955,1.5068793896757313,24728594.36,487054.3599999994,Near pace
Neighborhood Housing & Community Development,Homestead Preservation Reinvestment Tax Increment Fund,Housing,Grants & contributions,24019067.0,0.0,2,75.0,18014300.25,24019067.0,0.0,-18014300.25,-75.0,0.0,-24019067.0,Below pace
Public Works,Capital Projects Management Fund,Capital Project Delivery Services,Personnel & benefits,23652021.0,16488502.07,59,75.0,17739015.75,7163518.93,69.71286753888812,-1250513.6799999997,-5.287132461111881,21984669.426666666,-1667351.5733333342,Below pace
Financial Services,Waller Creek Tax Increment Financing Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,23643086.0,19702571.7,1,75.0,17732314.5,3940514.3000000007,83.33333347431888,1970257.1999999993,8.333333474318877,26270095.599999998,2627009.5999999978,Above pace
Nondepartmental,General Fund Budget Stabilization Reserve Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,22582842.0,18773201.65,8,75.0,16937131.5,3809640.3500000015,83.1303768143974,1836070.1499999985,8.130376814397394,25030935.53333333,2448093.5333333313,Above pace
Austin Water,Austin Water Community Benefit Charge Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,22190415.0,13907609.61,3,75.0,16642811.25,8282805.390000001,62.67395003653605,-2735201.6400000006,-12.326049963463952,18543479.48,-3646935.5199999996,Below pace
Human Resources,Support Services Fund,Human Resources Management,Personnel & benefits,21584100.0,16163717.07,165,75.0,16188075.0,5420382.93,74.88714873448511,-24357.929999999702,-0.112851265514891,21551622.76,-32477.23999999836,Near pace
Fire,General Fund,Operations Support,Personnel & benefits,21524030.0,17037714.97,150,75.0,16143022.5,4486315.030000001,79.15671447215043,894692.4699999988,4.156714472150426,22716953.293333333,1192923.293333333,Near pace
Austin Water,W-Water Impact Fees,Water Cip Transfers To,Transfers & debt service,20010000.0,20006546.49,1,75.0,15007500.0,3453.510000001639,99.98274107946025,4999046.489999998,24.982741079460254,26675395.319999997,6665395.319999997,Above pace
Austin Resource Recovery,Austin Resource Recovery Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,19838935.0,16241722.78,7,75.0,14879201.25,3597212.2200000007,81.86791670016561,1362521.5299999993,6.867916700165608,21655630.37333333,1816695.3733333312,Above pace
Austin Energy,Austin Energy Fund,"Transfers, Debt Service, and Other Requirements",Personnel & benefits,19209738.0,16744870.61,4,75.0,14407303.5,2464867.3900000006,87.16865690724153,2337567.1099999994,12.168656907241527,22326494.146666665,3116756.1466666646,Above pace
Communications & Technology Management,Information and Technology Fund,Enterprise Operations & Technology,Contractual services,19182346.0,12320951.94,47,75.0,14386759.5,6861394.0600000005,64.2306834628048,-2065807.5600000005,-10.769316537195195,16427935.92,-2754410.08,Below pace
Austin Water,Austin Water Water Utility Operating Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,18983537.0,15699742.65,10,75.0,14237652.75,3283794.3499999996,82.70188347935371,1462089.9000000004,7.701883479353711,20932990.2,1949453.1999999993,Above pace
Austin Water,Austin Water Water Utility Operating Fund,Support Services,Personnel & benefits,18913371.0,12428487.91,286,75.0,14185028.25,6484883.09,65.71270615904484,-1756540.3399999999,-9.287293840955158,16571317.213333333,-2342053.786666667,Below pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Support Services,Personnel & benefits,18838411.0,18286036.07,297,75.0,14128808.25,552374.9299999997,97.06782631507508,4157227.8200000003,22.06782631507508,24381381.426666666,5542970.426666666,Above pace
Watershed Protection,Drainage Utility Fund,Field Operations,Personnel & benefits,18445386.0,14267581.74,125,75.0,13834039.5,4177804.26,77.35041023267281,433542.2400000002,2.3504102326728145,19023442.32,578056.3200000003,Near pace
Police,General Fund,Professional Standards,Personnel & benefits,18426468.0,17034587.0,119,75.0,13819851.0,1391881.0,92.44629518798719,3214736.0,17.44629518798719,22712782.666666668,4286314.666666668,Above pace
Fleet Services,Fleet Services Fund,Fleet Service Centers,"Supplies, technology & equipment",18284721.0,18382966.55,114,75.0,13713540.75,-98245.55000000075,100.53730953838453,4669425.800000001,25.537309538384534,24510622.066666666,6225901.066666666,Above pace
Fleet Services,Fleet Services Fund,Fleet Service Centers,Personnel & benefits,18242556.0,14097555.76,191,75.0,13681917.0,4145000.24,77.27840199586066,415638.7599999998,2.278401995860662,18796741.01333333,554185.0133333318,Near pace
Aviation,New Airport PFC,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,18202587.0,13838190.51,1,75.0,13651940.25,4364396.49,76.02320763526635,186250.25999999978,1.0232076352663455,18450920.68,248333.6799999997,Near pace
Fire,General Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,17946590.0,14962217.9,1,75.0,13459942.5,2984372.0999999996,83.37081250532832,1502275.4000000004,8.370812505328317,19949623.866666667,2003033.8666666672,Above pace
Enterprise Debt Service,Convention Center Expansion Senior Lien Debt Service Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,17858638.0,0.0,2,75.0,13393978.5,17858638.0,0.0,-13393978.5,-75.0,0.0,-17858638.0,Below pace
Fleet Services,Fleet Services Fund,Operational Services,Other operating costs,16881337.0,13287864.280000001,49,75.0,12661002.75,3593472.719999999,78.71334053694918,626861.5300000012,3.7133405369491754,17717152.373333335,835815.3733333349,Near pace
Austin Resource Recovery,Austin Resource Recovery Fund,Collection Services,Other operating costs,16712533.0,14034675.5,181,75.0,12534399.75,2677857.5,83.9769501128285,1500275.75,8.976950112828504,18712900.666666668,2000367.666666668,Above pace
Public Works,Transportation Fund,Support Services,Personnel & benefits,16687460.0,13590862.209999999,120,75.0,12515595.0,3096597.790000001,81.44356426921773,1075267.209999999,6.443564269217731,18121149.613333333,1433689.6133333333,Above pace
Fire,General Fund,Fire / Emergency Response,Grants & contributions,16529285.0,13874159.610000001,5,75.0,12396963.75,2655125.3899999987,83.93684064374231,1477195.8600000013,8.936840643742315,18498879.48,1969594.4800000004,Above pace
Fire,General Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,16227489.0,13290293.1,9,75.0,12170616.75,2937195.9000000004,81.89987434285119,1119676.3499999996,6.8998743428511915,17720390.8,1492901.8000000007,Above pace
Communications & Technology Management,Information and Technology Fund,Enterprise Operations & Technology,Personnel & benefits,16180453.0,13417520.69,134,75.0,12135339.75,2762932.3100000005,82.92425861006487,1282180.9399999995,7.924258610064868,17890027.586666666,1709574.586666666,Above pace
Enterprise Debt Service,Airport Bond Interest Holding Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,16154688.0,12641900.0,1,75.0,12116016.0,3512788.0,78.25530273317565,525884.0,3.255302733175654,16855866.666666668,701178.6666666679,Near pace
Nondepartmental,General Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,16138702.0,12104026.5,2,75.0,12104026.5,4034675.5,75.0,0.0,0.0,16138702.0,0.0,Near pace
Austin Water,Austin Water Water Utility Operating Fund,Operations,Contractual services,16091488.0,13152516.479999999,76,75.0,12068616.0,2938971.5200000014,81.73586233914476,1083900.4799999986,6.735862339144759,17536688.639999997,1445200.6399999969,Above pace
Development Services,Development Services Fund,Building Plan Review & Inspections,Personnel & benefits,16085527.0,11986068.59,56,75.0,12064145.25,4099458.41,74.51461546768098,-78076.66000000015,-0.4853845323190171,15981424.786666667,-104102.21333333291,Near pace
Austin Water,Austin Water Reclaimed Water Utility Operating Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,16078963.0,12477500.84,7,75.0,12059222.25,3601462.16,77.60140277703232,418278.58999999985,2.6014027770323196,16636667.786666667,557704.7866666671,Near pace
Aviation,Airport Operating Fund,Business Services,Contractual services,15857788.0,11513625.309999999,9,75.0,11893341.0,4344162.690000001,72.60549396927237,-379715.69000000134,-2.3945060307276265,15351500.413333332,-506287.58666666783,Near pace
"Office of Arts, Culture, Music and Entertainment",Historic Preservation Fund,Cultural Education and Heritage Preservation,Other operating costs,15645780.0,1857777.97,5,75.0,11734335.0,13788002.03,11.873987554471558,-9876557.03,-63.126012445528445,2477037.2933333335,-13168742.706666667,Below pace
Austin Convention Center,Convention Center Operating Fund,Event Operations,Personnel & benefits,15590845.0,12416898.82,163,75.0,11693133.75,3173946.1799999997,79.64224402205268,723765.0700000003,4.6422440220526795,16555865.093333334,965020.0933333337,Near pace
Fire,General Fund,Emergency Prevention,Personnel & benefits,15570030.0,11826691.85,44,75.0,11677522.5,3743338.1500000004,75.95805435185417,149169.34999999963,0.9580543518541731,15768922.466666667,198892.4666666668,Near pace
Austin Water,Austin Water Wastewater Utility Operating Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,15030220.0,12273462.23,10,75.0,11272665.0,2756757.7699999996,81.65856674087271,1000797.2300000004,6.658566740872715,16364616.306666667,1334396.3066666666,Above pace
Austin Convention Center,Town Lake Park Vehicle Rental Tax Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,14998344.0,12265151.600000001,3,75.0,11248758.0,2733192.3999999985,81.77670548161852,1016393.6000000015,6.776705481618521,16353535.466666669,1355191.4666666687,Above pace
"Office of Arts, Culture, Music and Entertainment",Cultural Arts Fund,Cultural Arts,Grants & contributions,14932838.0,4107424.75,8,75.0,11199628.5,10825413.25,27.505988814718275,-7092203.75,-47.49401118528172,5476566.333333333,-9456271.666666668,Below pace
Public Works,Transportation Fund,Transportation Operations,Personnel & benefits,14857430.0,11468859.23,37,75.0,11143072.5,3388570.7699999996,77.19275291890993,325786.73000000045,2.1927529189099317,15291812.306666667,434382.30666666664,Near pace
Public Works,Transportation Fund,General Maintenance,Personnel & benefits,14800365.0,11728261.43,80,75.0,11100273.75,3072103.5700000003,79.24305535708072,627987.6799999997,4.243055357080721,15637681.906666666,837316.9066666663,Near pace
Austin Public Library,General Fund,Support Services,Personnel & benefits,14567852.0,11338481.95,103,75.0,10925889.0,3229370.0500000007,77.83221541514837,412592.94999999925,2.8322154151483687,15117975.933333332,550123.9333333317,Near pace
Austin Public Library,General Fund,"Transfers, Debt Service, and Other Requirements",Other operating costs,14366463.0,11686254.2,9,75.0,10774847.25,2680208.8000000007,81.34398981850995,911406.9499999993,6.343989818509954,15581672.266666666,1215209.2666666657,Above pace
Development Services,Development Services Fund,Support Services,Personnel & benefits,14325479.0,9762762.54,169,75.0,10744109.25,4562716.460000001,68.14964120920493,-981346.7100000009,-6.85035879079507,13017016.719999999,-1308462.2800000012,Below pace
Financial Services,Downtown Public Improvement District Fund,Public Improvement District,Contractual services,14274964.0,3229714.83,3,75.0,10706223.0,11045249.17,22.62502959727254,-7476508.17,-52.374970402727456,4306286.44,-9968677.559999999,Below pace
Law,Support Services Fund,Legal Services,Personnel & benefits,14269830.0,11254039.879999999,71,75.0,10702372.5,3015790.120000001,78.8659702323013,551667.379999999,3.8659702323012937,15005386.506666666,735556.5066666659,Near pace
Financial Services,Mueller Tax Increment Financing Fund,"Transfers, Debt Service, and Other Requirements",Transfers & debt service,13896782.0,11580651.7,1,75.0,10422586.5,2316130.3000000007,83.33333357319702,1158065.1999999993,8.333333573197024,15440868.933333332,1544086.9333333317,Above pace
Austin Water,Austin Water Wastewater Utility Operating Fund,Operations,Contractual services,13377448.0,10166450.84,75,75.0,10033086.0,3210997.16,75.99693783149073,133364.83999999985,0.996937831490726,13555267.786666667,177819.7866666671,Near pace
Aviation,Airport Operating Fund,"Facilities Management, Operations and Airport Security",Contractual services,13248500.0,9229310.06,52,75.0,9936375.0,4019189.9399999995,69.6630566479224,-707064.9399999995,-5.336943352077597,12305746.746666668,-942753.253333332,Below pace
Public Works,Transportation Fund,"Transfers, Debt Service, and Other Requirements",Contractual services,12977928.0,10814940.0,1,75.0,9733446.0,2162988.0,83.33333333333333,1081494.0,8.333333333333329,14419920.0,1441992.0,Above pace
Financial Services,Support Services Fund,Central Procurement,Personnel & benefits,12975691.0,11391619.26,48,75.0,9731768.25,1584071.7400000002,87.7920047572033,1659851.0099999998,12.792004757203301,15188825.68,2213134.6799999997,Above pace
Austin Conv & Visitors Bureau,Tourism And Promotion Fund,Tourism and Promotion Contracts,Contractual services,12913215.0,9684912.06,1,75.0,9684911.25,3228302.9399999995,75.00000627264396,0.8100000005215406,6.272643958027402e-06,12913216.08,1.0800000000745058,Near pace
Watershed Protection,Drainage Utility Fund,Support Services,Personnel & benefits,12831817.0,10366604.79,119,75.0,9623862.75,2465212.210000001,80.78828423129787,742742.0399999991,5.788284231297865,13822139.719999999,990322.7199999988,Above pace
Development Services,Austin Code Fund,Investigations and Compliance,Personnel & benefits,12770221.0,10241244.98,121,75.0,9577665.75,2528976.0199999996,80.1963018494355,663579.2300000004,5.1963018494355,13654993.306666667,884772.3066666666,Above pace
Watershed Protection,Drainage Utility Fund,"Planning, Monitoring, & Compliance",Personnel & benefits,12746946.0,10666328.49,131,75.0,9560209.5,2080617.5099999998,83.67752158046328,1106118.9900000002,8.677521580463278,14221771.32,1474825.3200000003,Above pace
Public Works,Transportation Fund,Street Preventive Maintenance,Contractual services,12471248.0,7958816.609999999,15,75.0,9353436.0,4512431.390000001,63.81732293351876,-1394619.3900000006,-11.18267706648124,10611755.479999999,-1859492.5200000014,Below pace
Austin Resource Recovery,Austin Resource Recovery Fund,Collection Services,Contractual services,12364313.0,7022951.13,34,75.0,9273234.75,5341361.87,56.80017264202225,-2250283.62,-18.199827357977753,9363934.84,-3000378.16,Below pace
Austin Energy,Austin Energy Fund,Support Services,Other operating costs,12135494.0,-10677469.309999997,962,75.0,9101620.5,22812963.309999995,-87.98545250815498,-19779089.809999995,-162.985452508155,-14236625.746666662,-26372119.746666662,Below pace
Austin Water,Austin Water Water Utility Operating Fund,"Environmental, Planning, and Development Services",Personnel & benefits,12106198.0,8831662.18,71,75.0,9079648.5,3274535.8200000003,72.95157554832657,-247986.3200000003,-2.0484244516734265,11775549.573333332,-330648.4266666677,Near pace
